 Distributed; Prioritized; CBS
70;42;42
133;69;66
147;80;76
168;83;83
154;99;99
147;71;64
175;109;108
133;88;75
133;94;88
133;67;66
133;82;79
224;106;104
154;86;78
140;90;79
168;61;59
140;77;75
133;77;72
84;71;64
140;72;72
182;93;92
119;46;46
126;73;71
133;67;67
126;91;91
98;48;48
140;81;79
84;63;60
308;108;99
147;79;79
91;57;53
147;94;85
154;84;82
91;58;58
112;82;82
126;66;65
112;72;71
196;89;80
98;72;72
126;75;73
168;83;78
126;71;71
119;93;84
105;55;54
126;77;76
182;61;57
84;48;43
126;65;65
77;45;45
133;75;75
147;108;101
147;104;102
182;59;59
112;48;48
119;74;71
217;124;122
119;70;66
182;95;89
175;127;124
112;69;67
119;74;74
133;71;71
119;70;67
70;51;51
77;44;44
140;86;85
105;67;62
168;100;97
161;83;83
161;97;92
133;61;61
301;101;101
133;50;49
91;47;47
217;101;97
98;76;66
175;98;97
154;99;90
112;70;70
161;88;85
168;120;113
175;87;82
154;79;78
175;114;108
189;121;116
161;98;96
133;61;45
105;69;66
84;64;63
91;73;73
98;51;51
168;90;88
147;69;67
182;71;69
133;81;81
147;86;81
147;81;81
168;101;99
91;63;63
98;64;62
112;64;63
161;85;84
175;89;86
126;89;88
168;85;84
189;89;89
182;69;69
84;51;50
175;102;94
175;86;85
126;61;59
133;79;73
182;95;95
98;55;55
133;92;82
147;87;81
238;99;96
133;101;94
112;44;44
154;75;75
112;65;64
105;51;51
133;92;88
161;107;107
91;68;65
126;80;80
126;65;64
189;79;78
196;65;69
154;82;82
154;93;90
168;65;65
196;87;80
147;89;83
154;106;103
119;68;67
175;94;88
161;98;93
161;94;89
161;78;74
140;85;84
84;68;64
98;79;78
203;131;129
98;66;64
175;100;100
84;46;45
98;67;64
182;89;82
203;92;89
70;47;47
98;66;63
147;79;75
154;66;65
154;79;76
147;71;71
119;66;58
98;70;65
210;102;101
133;62;62
161;86;76
210;99;95
105;52;50
168;78;75
147;75;73
133;63;63
126;76;74
105;69;67
84;59;57
126;54;54
126;78;75
126;88;84
147;86;85
168;69;68
98;51;51
168;87;79
112;75;74
91;44;44
168;103;100
119;71;71
175;98;92
147;84;80
175;102;100
140;65;64
119;74;70
126;75;64
175;85;85
154;86;85
105;66;64
182;95;95
140;72;72
147;69;69
189;71;71
77;55;50
189;69;69
182;125;114
119;59;58
126;74;74
133;80;79
154;84;82
77;58;55
112;67;64
189;117;114
147;59;59
133;73;71
161;99;95
140;87;87
217;74;69
196;78;78
147;76;73
112;67;60
112;56;56
119;61;61
112;66;66
140;75;74
175;88;88
182;97;97
231;127;118
84;45;41
112;72;67
161;87;82
168;82;82
175;104;104
105;68;60
133;90;87
175;91;90
182;78;75
154;82;82
140;95;87
133;89;84
91;57;55
105;51;51
126;107;98
98;63;62
168;65;64
168;75;75
154;71;70
182;90;84
133;77;72
161;55;55
119;84;83
133;82;74
133;89;85
112;70;64
182;84;80
119;66;63
210;87;85
126;57;57
147;91;89
168;104;100
133;91;87
77;38;38
126;67;67
147;101;86
105;63;60
140;102;88
168;83;83
112;88;83
252;107;105
154;92;88
182;89;79
196;96;94
119;62;58
140;96;89
98;51;51
154;78;72
98;61;61
175;84;83
70;40;40
217;109;107
140;86;86
119;77;73
175;97;95
182;114;111
112;62;60
238;95;94
84;70;63
140;71;71
175;93;85
182;107;99
140;84;80
140;88;73
140;67;63
154;61;61
147;79;75
91;53;53
98;48;48
147;78;78
140;73;72
105;55;55
161;92;87
168;76;74
140;93;86
133;86;84
154;57;55
189;109;106
175;96;96
154;77;68
140;78;78
112;73;71
154;102;101
203;80;74
112;66;64
189;101;96
126;77;76
182;103;99
