 Distributed; Prioritized; CBS
140;79;78
133;69;68
231;98;98
168;108;95
252;94;88
105;67;65
105;78;75
154;79;79
105;72;72
98;60;60
168;82;80
133;45;43
168;98;94
105;72;71
119;79;70
175;79;79
140;68;65
161;67;67
112;71;71
175;70;70
140;59;58
140;70;70
119;40;40
196;83;83
147;115;109
182;71;70
77;31;31
147;76;76
154;108;100
133;103;102
140;74;73
126;84;84
189;116;99
133;81;79
105;59;56
140;96;89
245;106;105
77;50;50
182;102;96
175;72;72
161;111;107
161;92;90
161;75;75
140;105;101
105;57;57
91;61;52
161;85;85
84;40;40
133;58;58
126;74;73
154;93;89
210;86;86
154;75;75
161;80;78
168;116;116
147;77;76
126;82;80
77;48;48
196;98;90
161;79;79
133;65;53
182;114;111
252;87;87
119;68;63
168;64;63
140;89;85
105;77;77
140;86;82
42;40;38
182;84;84
105;58;57
91;67;66
84;58;50
133;74;68
161;110;102
147;103;95
91;56;56
140;86;80
189;81;77
119;70;69
217;111;108
105;66;57
154;82;82
168;109;109
224;114;113
147;83;70
98;70;68
175;94;90
168;106;106
196;99;90
91;46;46
112;66;66
154;77;65
147;109;94
161;85;84
147;95;91
168;107;104
175;100;93
112;71;69
126;63;58
133;75;74
84;51;51
147;63;62
147;90;89
98;52;49
266;89;86
189;83;76
196;102;95
105;50;49
147;80;79
91;48;46
203;109;104
70;56;51
168;86;78
175;115;111
133;95;94
154;79;77
147;80;73
112;65;65
168;108;106
168;65;65
112;72;67
182;80;76
210;112;105
217;95;93
175;108;104
182;104;103
140;73;71
175;82;77
112;104;90
182;67;67
140;84;80
154;92;92
161;91;88
161;81;76
133;85;77
238;98;87
161;96;94
70;40;40
105;60;55
112;75;71
154;82;82
140;104;96
154;77;77
182;92;90
126;67;65
168;107;102
154;54;51
252;100;93
161;93;93
133;63;61
140;78;73
182;86;86
105;49;49
217;98;94
119;94;81
189;90;85
168;96;90
196;91;86
147;76;75
245;96;88
203;120;119
147;78;78
168;111;108
161;108;104
98;57;50
154;107;106
196;87;87
168;74;72
189;66;63
140;86;86
140;112;109
126;105;104
175;87;86
91;55;55
154;80;76
105;50;50
175;84;84
168;100;91
112;76;70
91;73;58
147;81;78
175;74;67
112;66;66
175;76;75
175;76;76
168;110;102
112;68;67
210;79;78
238;92;88
175;61;60
266;93;87
98;51;50
119;62;60
189;102;101
168;110;104
196;79;79
63;39;38
154;83;77
168;83;76
168;84;84
147;90;79
161;96;96
224;107;94
140;102;93
231;95;89
126;80;80
168;111;110
105;64;64
105;65;58
238;102;102
112;80;76
112;84;76
63;37;37
112;61;61
105;58;55
84;66;66
133;81;79
168;90;89
175;90;90
154;87;76
133;91;89
70;47;46
119;71;70
168;107;107
133;67;66
224;74;74
203;90;87
175;81;79
