layouts/layout3/layout3_7agents_1.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_10.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_100.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_1000.txt, 140, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_101.txt, 224, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_102.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_103.txt, 140, 0.0, Distributed
layouts/layout3/layout3_7agents_104.txt, 210, 0.0, Distributed
layouts/layout3/layout3_7agents_105.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_106.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_107.txt, 77, 0.0, Distributed
layouts/layout3/layout3_7agents_108.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_109.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_11.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_110.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_111.txt, 196, 0.0, Distributed
layouts/layout3/layout3_7agents_112.txt, 147, 0.0, Distributed
layouts/layout3/layout3_7agents_113.txt, 154, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_114.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_115.txt, 133, 0.0, Distributed
layouts/layout3/layout3_7agents_116.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_117.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_118.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_119.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_12.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_120.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_121.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_122.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_123.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_124.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_125.txt, 140, 0.0, Distributed
layouts/layout3/layout3_7agents_126.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_127.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_128.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_129.txt, 126, 0.0, Distributed
layouts/layout3/layout3_7agents_13.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_130.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_131.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_132.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_133.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_134.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_135.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_136.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_137.txt, None, Not Solvable, Distributed
